z [m],u [m/s],u_rms [m/s],c [-],d_32a [m],T_u [-],delta_x [m],delta_y [m],N_p [-],u_corrected_q0.1 [m/s],u_corrected_q0.25 [m/s],u_corrected_q0.5 [m/s],u_corrected_q0.75 [m/s],u_corrected_q0.9 [m/s],T_u_corrected_q0.1 [-],T_u_corrected_q0.25 [-],T_u_corrected_q0.5 [-],T_u_corrected_q0.75 [-],T_u_corrected_q0.9 [-]
0.0026,5.157,1.543,0.0798,0.00089,0.2992049641264301,0.005,0.001,10,4.571016830532838,4.675495771241445,4.848249509350966,5.152183171848919,6.979064702927564,0.2049118300045072,0.2582847244400542,0.3137818054948266,0.3418639992508474,0.3469514404380689
0.0042,5.888,1.298,0.1007,0.00108,0.2204483695652174,0.005,0.001,10,4.86669646375612,5.30523261257095,5.534772259926868,6.074080628774095,8.124020946060872,0.2626566351269559,0.2820796327372752,0.3043610300406393,0.3125888810049363,0.3379547752650153
0.0058,6.258,1.179,0.1151,0.00125,0.188398849472675,0.005,0.001,10,5.022247778856492,5.808502306307889,6.047126208697449,6.281624828164917,6.298551397510591,0.1941642467162242,0.2114924100312825,0.24162840067255625,0.2822342219757495,0.3091751308868868
0.0074,6.581,1.118,0.1288,0.00142,0.16988299650509042,0.005,0.001,10,5.705834032580984,5.850730344027887,6.281624828164917,6.410807296015857,6.614505663482436,0.1787138172989572,0.189220987524741,0.209808000193438,0.2460650142037758,0.2952679803298473
0.0106,7.052,1.049,0.1512,0.00175,0.1487521270561543,0.005,0.001,10,6.127865899566828,6.48318085614133,6.8501480860197095,7.010939958251833,7.373044499498951,0.1563274148948697,0.1670041262815734,0.1946587214832089,0.2156305368185235,0.2784664607251514
0.0138,7.46,0.922,0.1735,0.00213,0.12359249329758713,0.005,0.001,10,6.84879349919159,7.130998691273403,7.311097377006198,7.387597447276346,7.443306414584641,0.1203671172934549,0.1245680067439352,0.135284780912809,0.1585865122038704,0.1909610525379202
0.017,7.745,0.837,0.1996,0.00257,0.10806972240154938,0.005,0.001,10,7.259755013664569,7.475404928666013,7.565553647105898,7.60072180339122,7.752026920913379,0.1089967057501621,0.1154808728898496,0.1253561458140202,0.1324136242325737,0.15294051170827
0.0202,8.047,0.767,0.2346,0.00315,0.09531502423263327,0.005,0.001,10,7.791795935104495,7.922374023874836,7.996122763807195,8.049530350823158,8.119913359843194,0.0891373503227305,0.0960335145637654,0.1015589289787627,0.1143238741739038,0.1478163900829175
0.0234,8.291,0.69,0.2814,0.00394,0.08322277168013507,0.005,0.001,10,8.012964701911688,8.179008992021414,8.200490522941084,8.233725864173568,8.335105744668763,0.0768865103462654,0.0817187734911147,0.0890224070770881,0.0996117223230759,0.1191473189333186
0.0266,8.455,0.653,0.3494,0.00508,0.07723240685984625,0.005,0.001,10,8.334112776716475,8.379625134996715,8.44110410723155,8.476282400395625,8.51967448158102,0.0601186174940855,0.069617296680015,0.0775078172026115,0.0832206569888679,0.0939182069872811
0.0298,8.61,0.624,0.4413,0.00689,0.07247386759581882,0.005,0.001,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.033,8.709,0.59,0.5521,0.00967,0.06774600987484211,0.005,0.001,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0362,8.778,0.576,0.6629,0.01403,0.0656185919343814,0.005,0.001,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0394,8.841,0.568,0.7674,0.02151,0.06424612600384572,0.005,0.001,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0426,8.886,0.556,0.8468,0.03308,0.06257033535899169,0.005,0.001,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0458,8.874,0.505,0.9026,0.05195,0.056907820599504166,0.005,0.001,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.049,8.825,0.425,0.9396,0.08192,0.0481586402266289,0.005,0.001,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0522,8.825,0.557,0.9629,0.13127,0.06311614730878189,0.005,0.001,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0554,8.833,0.585,0.9768,0.20831,0.06622891429865277,0.005,0.001,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0586,8.891,0.605,0.9856,0.32904,0.06804633899448881,0.005,0.001,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0618,8.933,0.547,0.9909,0.49228,0.061233628120452264,0.005,0.001,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.065,8.813,0.303,0.994,0.73339,0.03438102802677862,0.005,0.001,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
